source,source_id,page,line,image_path,ground_truth_text
Buendia - Instruccion transcription,source1,2,12,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_012.png,que ella también se dirige a la ju-
Buendia - Instruccion transcription,source1,2,13,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_013.png,"ventud; pero a esta, como recuer-"
Buendia - Instruccion transcription,source1,2,14,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_014.png,"do de lo que aprendió, a los Ni-"
Buendia - Instruccion transcription,source1,2,15,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_015.png,"ños, como precisa explicacion de"
Buendia - Instruccion transcription,source1,2,16,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_016.png,lo que deben estudiar. Por este so-
Buendia - Instruccion transcription,source1,2,17,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_017.png,lo titulo es muy vuestra; y por
Buendia - Instruccion transcription,source1,2,18,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_018.png,"ser para Niños, que confiais a la"
Buendia - Instruccion transcription,source1,2,19,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_019.png,"educacion de vuestra Compañia,"
Buendia - Instruccion transcription,source1,2,20,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_020.png,"lo es mucho mas. En Vos, (Divi-"
Buendia - Instruccion transcription,source1,2,21,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_021.png,no Exemplar de todas las virtu-
Buendia - Instruccion transcription,source1,2,22,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_022.png,des) tienen abreviado el mas se-
Buendia - Instruccion transcription,source1,3,1,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_001.png,guro disseño de su edad: la Reli-
Buendia - Instruccion transcription,source1,3,2,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_002.png,gion para con Dios en la devota
Buendia - Instruccion transcription,source1,3,3,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_003.png,assistencia a los Templos; la piedad
Buendia - Instruccion transcription,source1,3,4,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_004.png,con los Padres en la obediencia
Buendia - Instruccion transcription,source1,3,5,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_005.png,"mas rendida; y la modestia, y de-"
Buendia - Instruccion transcription,source1,3,6,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_006.png,"seo de saber, con los mayores,"
Buendia - Instruccion transcription,source1,3,7,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_007.png,"gustando mas de oir, y pregun-"
Buendia - Instruccion transcription,source1,3,8,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_008.png,"tar, que de definir, y resolver. Bien"
Buendia - Instruccion transcription,source1,3,9,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_009.png,que esto en vuestra infinita Sabi-
Buendia - Instruccion transcription,source1,3,10,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_010.png,"duria fue soberana dignacion, y"
Buendia - Instruccion transcription,source1,3,11,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_011.png,en la natural ignorancia de los
Buendia - Instruccion transcription,source1,3,12,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_012.png,Niños es indispensable necessi-
Buendia - Instruccion transcription,source1,3,13,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_013.png,dad.
Buendia - Instruccion transcription,source1,3,14,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_014.png,Ni tienen solamente en Vos
Buendia - Instruccion transcription,source1,3,15,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_015.png,"el disseño, la luz, y el exemplo,"
Buendia - Instruccion transcription,source1,3,16,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_016.png,"sino tambien el amor, y protec-"
Buendia - Instruccion transcription,source1,3,17,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_017.png,"cion. Vos, como singular Maes-"
Buendia - Instruccion transcription,source1,3,18,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_018.png,"tro de los Niños, les dais enten-"
Buendia - Instruccion transcription,source1,3,19,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_019.png,"dimiento, y comunicais la sabi-"
Buendia - Instruccion transcription,source1,3,20,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_020.png,duria. Vos les prometeis el Reyno
Buendia - Instruccion transcription,source1,3,21,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_021.png,"de los Cielos, y os indignais con"
Buendia - Instruccion transcription,source1,3,22,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_022.png,"quien les aparta de Vos, y les"
Buendia - Instruccion transcription,source1,3,23,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_023.png,proponeis por norma del can-
Buendia - Instruccion transcription,source1,3,24,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_024.png,"dor, inocencia, y christiana hu-"
Buendia - Instruccion transcription,source1,3,25,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_025.png,mildad. Vuestro amor parece que
Buendia - Instruccion transcription,source1,3,26,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_026.png,"no pudo explicarse mas tierno, y"
Buendia - Instruccion transcription,source1,3,27,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_027.png,"liberal con los Niños, pues no"
Buendia - Instruccion transcription,source1,3,28,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/3_line_028.png,contento de echarles vuestras di-
Buendia - Instruccion transcription,source1,4,1,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_001.png,"vinas bendiciones, les unisteis"
Buendia - Instruccion transcription,source1,4,2,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_002.png,a vuestro sagrado pecho con sua-
Buendia - Instruccion transcription,source1,4,3,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_003.png,"vissimos abrazos. Dichosa edad,"
Buendia - Instruccion transcription,source1,4,4,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_004.png,que os merecio tan regalados cariños!
Buendia - Instruccion transcription,source1,4,5,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_005.png,Y pues en la celestial Jeru-
Buendia - Instruccion transcription,source1,4,6,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_006.png,salen no ha mudado de condicion
Buendia - Instruccion transcription,source1,4,7,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_007.png,"vuestra Benignidad, proseguid,"
Buendia - Instruccion transcription,source1,4,8,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_008.png,"o Niño tierno, y Dios Eterno,"
Buendia - Instruccion transcription,source1,4,9,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_009.png,"proseguid en bendecirles, y favo-"
Buendia - Instruccion transcription,source1,4,10,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_010.png,recerles. Sean tan fervorosamen-
Buendia - Instruccion transcription,source1,4,11,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_011.png,te devotos de vuestra Admirable
Buendia - Instruccion transcription,source1,4,12,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_012.png,"MADRE, que se porten como sus"
Buendia - Instruccion transcription,source1,4,13,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_013.png,"hijos, y hermanos de leche con"
Buendia - Instruccion transcription,source1,4,14,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_014.png,"Vos. Seran sabios, si fueren cas-"
Buendia - Instruccion transcription,source1,4,15,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_015.png,tos; que no entra vuestra Sabi-
Buendia - Instruccion transcription,source1,4,16,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_016.png,"duria, donde no ay mucha pure-"
Buendia - Instruccion transcription,source1,4,17,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_017.png,za de conciencia. Crezcan en
Buendia - Instruccion transcription,source1,4,18,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_018.png,"vuestro santo temor, y amor, co-"
Buendia - Instruccion transcription,source1,4,19,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_019.png,"como en los años, y mucho mas."
Buendia - Instruccion transcription,source1,4,20,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_020.png,"Adelantense en la virtud, como"
Buendia - Instruccion transcription,source1,4,21,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_021.png,"en las letras, y mucho mas; has-"
Buendia - Instruccion transcription,source1,4,22,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_022.png,"ta que lleguen, por vuesetra imi-"
Buendia - Instruccion transcription,source1,4,23,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_023.png,"tacion, a ser varones perfectos,"
Buendia - Instruccion transcription,source1,4,24,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_024.png,"y consumados, agradables a"
Buendia - Instruccion transcription,source1,4,25,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_025.png,"vuestros ojos, y provechosos a"
Buendia - Instruccion transcription,source1,4,26,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_026.png,"la Republica, que libra casi to-"
Buendia - Instruccion transcription,source1,4,27,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_027.png,da su felizidad en la acertada
Buendia - Instruccion transcription,source1,4,28,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/4_line_028.png,"crianza de la niñez. Assi sea,"
Buendia - Instruccion transcription,source1,5,1,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/5_line_001.png,"Divinissimo Niño, por vuestra"
Buendia - Instruccion transcription,source1,5,2,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/5_line_002.png,"gracia, assi sea, a vuestra ma-"
Buendia - Instruccion transcription,source1,5,3,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/5_line_003.png,yor gloria. Amen.
Buendia - Instruccion transcription,source1,5,4,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/5_line_004.png,CENSURA DEL R. P. ANTONIO CO-
Buendia - Instruccion transcription,source1,6,1,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_001.png,"dorniu de la Compañía de jesus, Maes-"
Buendia - Instruccion transcription,source1,6,2,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_002.png,"tro que fue de Theologia, Examinador"
Buendia - Instruccion transcription,source1,6,3,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_003.png,"Synodal de los Obispados de Gerona, Ur-"
Buendia - Instruccion transcription,source1,6,4,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_004.png,"gel, y Barcelona, Oc."
Buendia - Instruccion transcription,source1,6,5,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_005.png,DE orden del Ilustre Señor Don Fran-
Buendia - Instruccion transcription,source1,6,6,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_006.png,"cisco Drechos, Canonigo, y Sacristan"
Buendia - Instruccion transcription,source1,6,7,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_007.png,"Dignidad de la Santa Iglesia de Gerona, y"
Buendia - Instruccion transcription,source1,6,8,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_008.png,Vicario General por el Ilustrissimo Señor
Buendia - Instruccion transcription,source1,6,9,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_009.png,"D. Balthasar de Bastero y lledo, Obispo"
Buendia - Instruccion transcription,source1,6,10,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_010.png,"de Gerona, del Consejo de su Magestad, & c."
Buendia - Instruccion transcription,source1,6,11,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_011.png,"He visto un Librito, cuyo titulo es: Ins-"
Buendia - Instruccion transcription,source1,6,12,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_012.png,"truccion de Christiana, y Politica Cortesa-"
Buendia - Instruccion transcription,source1,6,13,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_013.png,"nia, Oc. Su Author D. Fausto Agustin de"
Buendia - Instruccion transcription,source1,6,14,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_014.png,"Buendia, Colegial que fue en el Imperial"
Buendia - Instruccion transcription,source1,6,15,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_015.png,"de Cordellas, &c. Y brevemente digo,"
Buendia - Instruccion transcription,source1,6,16,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_016.png,"no solo que nada contiene contra la Fe, y"
Buendia - Instruccion transcription,source1,6,17,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_017.png,"buenas costumbres, sino que muy atento"
Buendia - Instruccion transcription,source1,6,18,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_018.png,"el Author con entrambas, describe, y en-"
Buendia - Instruccion transcription,source1,6,19,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_019.png,"seña tan culta, y discreta la Virtud, co-"
Buendia - Instruccion transcription,source1,6,20,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_020.png,"mo santa la Policia, y Urbanidad. Los"
Buendia - Instruccion transcription,source1,6,21,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_021.png,"Señoritos, que se criaren con estos do-"
Buendia - Instruccion transcription,source1,6,22,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_022.png,"cumentos, mereceran, quando hombres,"
Buendia - Instruccion transcription,source1,6,23,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_023.png,aver nacido Señores. Porque no solo sa-
Buendia - Instruccion transcription,source1,6,24,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/6_line_024.png,"bran ser Caballeros, sino tambien a lo"
Covarrubias - Tesoro lengua transcription,source2,7,1,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_001.png,CENSURA DE
Covarrubias - Tesoro lengua transcription,source2,7,2,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_002.png,PEDRO DE VALENCIA CORONISTA
Covarrubias - Tesoro lengua transcription,source2,7,3,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_003.png,General de el Rey nuestro
Covarrubias - Tesoro lengua transcription,source2,7,4,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_004.png,Señor.
Covarrubias - Tesoro lengua transcription,source2,7,5,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_005.png,"POr mandado del Consejo Supremo de Castilla, he visto el libro in-"
Covarrubias - Tesoro lengua transcription,source2,7,6,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_006.png,"titulado, Tesoro de la lengua Castellana, que compuso el Licen-"
Covarrubias - Tesoro lengua transcription,source2,7,7,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_007.png,"ciado Don Sebastian de Covarruvias y Orozco, Canonigo, y Maesses-"
Covarrubias - Tesoro lengua transcription,source2,7,8,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_008.png,"cuela de la Iglesia de Cuenca, Consultor de el Santo Oficio de la Inquisi-"
Covarrubias - Tesoro lengua transcription,source2,7,9,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_009.png,"cion, y Capellan de su Magestad, y no he allado en el cosa contraria a"
Covarrubias - Tesoro lengua transcription,source2,7,10,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_010.png,"la Fe, ni a las buenas costumbres; antes tiene muchas muy utiles, y esta lle-"
Covarrubias - Tesoro lengua transcription,source2,7,11,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_011.png,"no de varia, y curiosa leccion, y doctrina. Por lo qual, y por la autoridad,"
Covarrubias - Tesoro lengua transcription,source2,7,12,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_012.png,"y erudicion de la persona del Autor, tan conocida, y estimada en todas par-"
Covarrubias - Tesoro lengua transcription,source2,7,13,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_013.png,"tes, y porque de materia semejante han escrito en cada lengua, y nacion"
Covarrubias - Tesoro lengua transcription,source2,7,14,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_014.png,"politica, varones muy graves, y doctos, y por ser conveniente que de la"
Covarrubias - Tesoro lengua transcription,source2,7,15,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_015.png,"propiedad, pureza, y elegancia de una lengua se escriva en el tiempo que"
Covarrubias - Tesoro lengua transcription,source2,7,16,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_016.png,"ella mas florece, me parece se debe dar la licencia, y privilegio que se pide pa-"
Covarrubias - Tesoro lengua transcription,source2,7,17,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_017.png,ra imprimirlo. En Madrid a tres dias del mes de Mayo de 1610.
Covarrubias - Tesoro lengua transcription,source2,7,18,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/7_line_018.png,Pedro de Valencia
Covarrubias - Tesoro lengua transcription,source2,8,1,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_001.png,CARTA DE EL
Covarrubias - Tesoro lengua transcription,source2,8,2,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_002.png,LICENCIADO DON BALTASAR
Covarrubias - Tesoro lengua transcription,source2,8,3,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_003.png,"SEBASTIAN NAVARRO DE ARROYTA, COLEGIAL DEL"
Covarrubias - Tesoro lengua transcription,source2,8,4,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_004.png,"Colegio de San Salvador de Oviedo, el mayor de Salamanca, Sacristan"
Covarrubias - Tesoro lengua transcription,source2,8,5,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_005.png,"mayor, y Canonigo de la santa Catedral Iglesia"
Covarrubias - Tesoro lengua transcription,source2,8,6,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_006.png,"de la Ciudad de Teruel, al Autor"
Covarrubias - Tesoro lengua transcription,source2,8,7,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_007.png,deste libro.
Covarrubias - Tesoro lengua transcription,source2,8,8,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_008.png,"QUANDO En Madrid bese a v. m. las manos, demas del contento que siempre recibo"
Covarrubias - Tesoro lengua transcription,source2,8,9,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_009.png,"de hazerlo, y de cumplir con las obligaciones generales, y particulares, que a la per-"
Covarrubias - Tesoro lengua transcription,source2,8,10,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_010.png,"sonade v. m. tengo ver me holgue grandemente de, la primera parte del libro q v. m. ha"
Covarrubias - Tesoro lengua transcription,source2,8,11,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_011.png,"tantos años que trabaja, y ha comenzado a imprimir: porque teniendo yo opinion de"
Covarrubias - Tesoro lengua transcription,source2,8,12,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_012.png,"que desta obra se ha de seguir gran utilidad, y honor a la nacion Española, estoy muy contento de"
Covarrubias - Tesoro lengua transcription,source2,8,13,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_013.png,"que esto proceda de persona que tanto me toca, peus es notorio el Deudo que v. m. tiene con la an-"
Covarrubias - Tesoro lengua transcription,source2,8,14,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_014.png,"tigua, y noble casa de Valero, de donde yo tengo la decendencia, y es tambien notorio ser v. m."
Covarrubias - Tesoro lengua transcription,source2,8,15,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_015.png,"sobrino de los dos mas insignes varones que ha tenido nuestro siglo en letras, criados ambos en esta"
Covarrubias - Tesoro lengua transcription,source2,8,16,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_016.png,"santa casa de San Salvador de Oviedo. El primero el gran Diego de Covarruvias, que basta dezir"
Covarrubias - Tesoro lengua transcription,source2,8,17,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_017.png,"su nombre, para que en todo el mundo se entienda lo que merecio, y valio, el hombre mayor en el"
Covarrubias - Tesoro lengua transcription,source2,8,18,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_018.png,"conocimiento de las letras humanas, y divinas, que ha tenido España, el que las naciones estran-"
Covarrubias - Tesoro lengua transcription,source2,8,19,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Covarrubias - Tesoro lengua transcription/8_line_019.png,"geras llaman el Bartulo Español, gran Prelado, exemplo de los que tienen la suprema autoridad."
